Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
425,2021-22,Southeastern Louisiana,34,19,15,0.559,73.4,106.9,105.5,0.536,0.575,17.3,27.0,67.6,0.369,0.53,0.553,17.5,32.4,73.0,0.255
426,2020-21,Southeastern Louisiana,26,8,18,0.308,71.6,94.0,107.0,0.454,0.496,18.8,31.2,70.0,0.41,0.552,0.589,19.6,30.0,68.8,0.38
427,2019-20,Southeastern Louisiana,31,8,23,0.258,74.0,92.9,104.6,0.469,0.5,19.3,28.8,66.2,0.317,0.535,0.576,20.4,33.8,71.2,0.402
428,2023-24,Southeast Missouri State,31,9,22,0.29,70.4,94.8,104.0,0.465,0.497,15.1,24.8,71.9,0.277,0.509,0.547,15.8,28.1,75.2,0.425
429,2022-23,Southeast Missouri State,36,19,17,0.528,73.8,103.2,101.2,0.503,0.54,15.4,26.5,72.7,0.378,0.506,0.544,17.3,27.3,73.5,0.431
430,2021-22,Southeast Missouri State,32,14,18,0.438,72.6,103.7,106.0,0.512,0.551,16.1,25.7,71.3,0.366,0.517,0.557,16.3,28.7,74.3,0.395
431,2020-21,Southeast Missouri State,27,11,16,0.407,68.9,97.5,101.3,0.499,0.532,19.2,27.6,76.4,0.405,0.519,0.553,17.7,23.6,72.4,0.389
432,2019-20,Southeast Missouri State,31,7,24,0.226,68.8,95.9,107.7,0.472,0.509,17.0,25.5,72.1,0.354,0.54,0.566,16.0,27.9,74.5,0.336
433,2023-24,South Florida,33,25,8,0.758,69.0,109.8,100.5,0.518,0.557,13.7,28.2,69.5,0.378,0.479,0.511,15.8,30.5,71.8,0.346
434,2022-23,South Florida,32,14,18,0.438,69.6,103.1,103.1,0.508,0.531,16.8,33.0,72.2,0.307,0.498,0.538,16.3,27.8,67.0,0.371
435,2021-22,South Florida,31,8,23,0.258,65.9,87.2,98.5,0.413,0.444,16.2,29.6,73.2,0.254,0.483,0.52,16.6,26.8,70.4,0.336
436,2020-21,South Florida,22,9,13,0.409,68.3,95.9,104.0,0.458,0.488,17.2,33.2,74.5,0.343,0.519,0.55,15.6,25.5,66.8,0.325
437,2019-20,South Florida,31,14,17,0.452,65.5,95.0,95.0,0.466,0.499,18.9,32.4,74.8,0.375,0.51,0.54,20.9,25.2,67.6,0.345
438,2023-24,South Dakota State,35,22,13,0.629,68.6,110.7,103.0,0.555,0.579,14.6,25.1,75.4,0.292,0.503,0.534,14.5,24.6,74.9,0.257
439,2022-23,South Dakota State,32,19,13,0.594,67.9,103.6,101.9,0.518,0.555,15.4,21.5,74.7,0.28,0.507,0.536,15.5,25.3,78.5,0.229
440,2021-22,South Dakota State,35,30,5,0.857,71.7,119.3,101.7,0.6,0.627,13.8,24.0,76.8,0.333,0.509,0.534,14.6,23.2,76.0,0.208
441,2020-21,South Dakota State,23,16,7,0.696,71.9,111.9,102.2,0.568,0.597,15.4,24.4,80.0,0.377,0.506,0.542,13.9,20.0,75.6,0.257
442,2019-20,South Dakota State,32,22,10,0.688,69.8,110.3,99.8,0.554,0.58,16.2,28.9,73.1,0.327,0.478,0.504,13.8,26.9,71.1,0.254
443,2023-24,South Dakota,32,12,20,0.375,69.8,107.3,111.7,0.522,0.555,15.8,30.2,72.4,0.304,0.52,0.547,10.8,27.6,69.8,0.26
444,2022-23,South Dakota,31,12,19,0.387,67.0,103.5,110.0,0.51,0.544,15.4,25.6,73.2,0.272,0.523,0.554,12.9,26.8,74.4,0.304
445,2021-22,South Dakota,31,19,12,0.613,67.5,110.5,104.3,0.528,0.564,13.0,27.1,78.7,0.337,0.52,0.553,14.7,21.3,72.9,0.333
446,2020-21,South Dakota,25,14,11,0.56,70.2,108.2,102.8,0.533,0.572,13.9,22.1,76.0,0.325,0.489,0.53,14.0,24.0,77.9,0.344
447,2019-20,South Dakota,32,20,12,0.625,71.4,111.4,103.9,0.557,0.594,13.7,20.2,78.1,0.393,0.515,0.549,14.4,21.9,79.8,0.312
448,2023-24,South Carolina State,32,14,18,0.438,70.3,99.0,105.4,0.462,0.501,17.8,38.7,69.5,0.362,0.516,0.566,18.7,30.5,61.3,0.481
449,2022-23,South Carolina State,31,5,26,0.161,73.7,98.7,112.8,0.477,0.505,17.7,34.7,66.1,0.29,0.571,0.603,18.4,33.9,65.3,0.435
450,2021-22,South Carolina State,31,15,16,0.484,73.7,96.3,97.3,0.441,0.478,16.4,35.7,72.9,0.312,0.489,0.526,18.1,27.1,64.3,0.374
451,2020-21,South Carolina State,18,1,17,0.056,72.5,84.4,108.3,0.448,0.472,21.1,25.8,66.6,0.276,0.554,0.586,19.7,33.4,74.2,0.36
452,2019-20,South Carolina State,29,11,18,0.379,69.1,99.5,106.5,0.481,0.53,17.9,30.3,72.4,0.397,0.526,0.552,15.4,27.6,69.7,0.364
453,2023-24,South Carolina,34,26,8,0.765,64.8,110.4,103.5,0.509,0.54,13.2,32.8,72.1,0.318,0.484,0.522,13.1,27.9,67.2,0.316
454,2022-23,South Carolina,32,11,21,0.344,65.1,97.2,109.8,0.469,0.495,16.8,32.7,67.5,0.268,0.526,0.549,13.7,32.5,67.3,0.294
455,2021-22,South Carolina,31,18,13,0.581,72.2,97.9,97.0,0.479,0.506,17.8,34.3,68.8,0.286,0.469,0.513,18.4,31.2,65.7,0.403
456,2020-21,South Carolina,21,6,15,0.286,75.4,96.2,104.9,0.467,0.493,16.8,31.7,69.0,0.279,0.532,0.574,19.4,31.0,68.3,0.39
457,2019-20,South Carolina,31,18,13,0.581,72.5,100.8,95.5,0.486,0.512,15.5,32.1,71.4,0.368,0.452,0.516,18.7,28.6,67.9,0.531
458,2023-24,South Alabama,32,16,16,0.5,70.2,103.8,106.1,0.506,0.544,14.3,22.6,68.5,0.324,0.505,0.536,14.7,31.5,77.4,0.336
459,2022-23,South Alabama,35,19,16,0.543,66.7,106.0,97.4,0.534,0.552,13.2,21.1,72.3,0.22,0.462,0.496,14.3,27.7,78.9,0.278
460,2021-22,South Alabama,33,21,12,0.636,67.5,105.2,94.0,0.519,0.547,16.2,28.9,69.5,0.317,0.466,0.501,18.8,30.5,71.1,0.296
461,2020-21,South Alabama,28,17,11,0.607,68.4,106.9,102.3,0.52,0.552,15.1,27.2,68.0,0.334,0.496,0.524,17.0,32.0,72.8,0.231
462,2019-20,South Alabama,31,20,11,0.645,67.1,105.8,100.2,0.52,0.559,15.9,26.5,69.9,0.398,0.503,0.528,17.9,30.1,73.5,0.26
463,2023-24,SMU,33,20,13,0.606,68.6,111.5,99.9,0.507,0.533,13.5,38.5,68.8,0.29,0.471,0.51,16.1,31.2,61.5,0.337
464,2022-23,SMU,32,10,22,0.313,70.6,98.0,105.4,0.474,0.506,15.7,28.1,69.5,0.33,0.518,0.548,16.3,30.5,71.9,0.328
465,2021-22,SMU,33,24,9,0.727,69.5,105.8,96.2,0.515,0.555,15.6,27.6,70.0,0.356,0.446,0.476,14.4,30.0,72.4,0.254
466,2020-21,SMU,17,11,6,0.647,70.8,105.5,96.2,0.522,0.553,17.2,30.1,70.8,0.312,0.473,0.508,17.6,29.2,69.9,0.352
467,2019-20,SMU,30,19,11,0.633,66.0,108.3,101.7,0.521,0.557,16.9,34.1,71.0,0.317,0.492,0.526,16.2,29.0,65.9,0.282
468,2023-24,SIU Edwardsville,33,17,16,0.515,67.7,105.6,103.6,0.484,0.521,13.5,31.1,71.4,0.321,0.504,0.541,16.0,28.6,68.9,0.358
469,2022-23,SIU Edwardsville,33,19,14,0.576,70.7,105.5,100.8,0.497,0.54,15.6,31.4,70.4,0.4,0.486,0.525,16.8,29.6,68.6,0.334
470,2021-22,SIU Edwardsville,32,11,21,0.344,69.1,96.6,100.0,0.469,0.504,18.4,34.1,70.1,0.336,0.477,0.519,17.0,29.9,65.9,0.361
471,2020-21,SIU Edwardsville,26,9,17,0.346,69.8,94.2,104.6,0.497,0.527,20.3,26.5,69.0,0.33,0.517,0.544,17.0,31.0,73.5,0.333
472,2019-20,SIU Edwardsville,31,8,23,0.258,70.2,95.3,104.0,0.476,0.505,17.5,27.9,70.6,0.292,0.505,0.547,16.7,29.4,72.1,0.399
473,2023-24,Siena,32,4,28,0.125,67.1,90.0,110.9,0.447,0.48,20.0,33.2,68.8,0.308,0.518,0.547,12.7,31.2,66.8,0.28
474,2022-23,Siena,32,17,15,0.531,66.6,101.8,99.8,0.493,0.533,16.9,30.5,73.2,0.345,0.496,0.527,16.3,26.8,69.5,0.33
475,2021-22,Siena,29,15,14,0.517,67.2,97.4,101.6,0.487,0.521,16.5,24.5,71.5,0.289,0.491,0.522,15.1,28.5,75.5,0.292
476,2020-21,Siena,17,12,5,0.706,66.2,102.2,95.2,0.52,0.546,17.2,28.0,72.9,0.372,0.46,0.49,15.5,27.1,72.0,0.247
477,2019-20,Siena,30,20,10,0.667,67.1,106.3,99.6,0.518,0.55,16.5,31.9,74.2,0.363,0.484,0.518,15.1,25.8,68.1,0.269
478,2023-24,Seton Hall,37,25,12,0.676,67.4,108.1,102.4,0.504,0.545,15.7,35.2,71.0,0.309,0.492,0.526,15.5,29.0,64.8,0.256
479,2022-23,Seton Hall,33,17,16,0.515,67.8,100.9,96.1,0.492,0.53,17.6,30.9,70.3,0.407,0.474,0.51,18.4,29.7,69.1,0.31
480,2021-22,Seton Hall,32,21,11,0.656,68.7,104.3,96.3,0.481,0.521,14.9,32.6,71.0,0.312,0.455,0.496,15.9,29.0,67.4,0.27
481,2020-21,Seton Hall,27,14,13,0.519,67.8,103.7,101.4,0.5,0.539,16.4,29.7,70.2,0.357,0.494,0.528,16.7,29.8,70.3,0.273
482,2019-20,Seton Hall,30,21,9,0.7,71.0,105.3,95.7,0.514,0.548,16.3,29.2,69.6,0.348,0.457,0.494,16.7,30.4,70.8,0.324
483,2023-24,Seattle,37,23,14,0.622,68.6,105.5,95.4,0.512,0.548,15.9,29.8,74.9,0.341,0.461,0.501,15.6,25.1,70.2,0.35
484,2022-23,Seattle,32,20,12,0.625,70.8,101.3,97.1,0.473,0.511,14.5,29.9,74.4,0.325,0.484,0.518,16.5,25.6,70.1,0.325
485,2021-22,Seattle,32,23,9,0.719,71.8,103.8,92.4,0.494,0.531,14.1,26.4,74.9,0.28,0.46,0.498,18.0,25.1,73.6,0.388
486,2020-21,Seattle,23,12,11,0.522,70.5,102.8,96.8,0.481,0.516,13.2,27.2,70.1,0.292,0.479,0.527,19.5,29.9,72.8,0.387
487,2019-20,Seattle,29,14,15,0.483,71.4,103.0,99.8,0.464,0.516,12.3,27.4,72.5,0.363,0.48,0.527,16.5,27.5,72.6,0.4
488,2023-24,Santa Clara,33,20,13,0.606,69.8,109.8,103.1,0.528,0.557,15.6,34.6,74.1,0.313,0.483,0.519,12.8,25.9,65.4,0.334
489,2022-23,Santa Clara,33,23,10,0.697,71.2,106.8,101.5,0.521,0.549,15.2,30.0,76.0,0.298,0.503,0.531,14.7,24.0,70.0,0.246
490,2021-22,Santa Clara,33,21,12,0.636,71.4,107.8,100.4,0.545,0.575,14.7,22.8,74.3,0.276,0.485,0.514,14.4,25.7,77.2,0.212
491,2020-21,Santa Clara,20,12,8,0.6,72.1,96.6,98.0,0.483,0.521,16.3,23.2,75.8,0.406,0.474,0.51,15.1,24.2,76.8,0.299
492,2019-20,Santa Clara,33,20,13,0.606,73.0,103.4,97.9,0.528,0.564,16.7,21.7,74.0,0.351,0.479,0.521,16.9,26.0,78.3,0.376
493,2023-24,San Jose State,32,9,23,0.281,66.4,104.0,112.1,0.52,0.542,14.0,23.1,70.5,0.228,0.542,0.57,14.0,29.5,76.9,0.356
494,2022-23,San Jose State,35,21,14,0.6,63.2,105.6,103.6,0.502,0.526,15.6,35.4,75.6,0.265,0.48,0.518,11.5,24.4,64.6,0.284
495,2021-22,San Jose State,31,8,23,0.258,66.3,96.5,108.6,0.507,0.525,17.7,22.4,70.6,0.223,0.526,0.552,13.9,29.4,77.6,0.269
496,2020-21,San Jose State,21,5,16,0.238,72.4,90.8,112.4,0.455,0.483,15.6,20.6,66.6,0.29,0.513,0.541,12.0,33.4,79.4,0.272
497,2019-20,San Jose State,31,7,24,0.226,74.1,93.9,109.4,0.458,0.499,16.5,24.5,70.0,0.339,0.538,0.564,15.5,30.0,75.5,0.338
498,2023-24,San Francisco,34,23,11,0.676,68.5,112.7,96.5,0.558,0.582,14.7,29.5,76.0,0.233,0.491,0.529,18.1,24.0,70.5,0.377
499,2022-23,San Francisco,34,20,14,0.588,70.4,107.4,103.5,0.535,0.569,17.1,28.9,73.1,0.322,0.499,0.546,15.9,26.9,71.1,0.374
500,2021-22,San Francisco,34,24,10,0.706,70.9,108.7,95.2,0.537,0.56,15.6,30.2,76.3,0.29,0.471,0.509,16.3,23.7,69.8,0.331
501,2020-21,San Francisco,25,11,14,0.44,69.5,102.8,99.7,0.513,0.535,14.9,24.9,75.4,0.214,0.497,0.544,17.8,24.6,75.1,0.4
502,2019-20,San Francisco,34,22,12,0.647,69.2,107.1,98.4,0.515,0.545,15.0,29.6,76.4,0.294,0.5,0.533,16.8,23.6,70.4,0.311
503,2023-24,San Diego State,37,26,11,0.703,67.0,108.7,97.8,0.5,0.54,14.0,33.2,71.9,0.362,0.468,0.505,15.9,28.1,66.8,0.322
504,2022-23,San Diego State,39,32,7,0.821,66.6,106.1,94.6,0.498,0.533,14.8,31.9,74.2,0.327,0.466,0.506,17.1,25.8,68.1,0.295
505,2021-22,San Diego State,32,23,9,0.719,65.3,99.0,88.0,0.487,0.518,16.8,29.5,72.7,0.311,0.441,0.476,19.2,27.3,70.5,0.31
506,2020-21,San Diego State,28,23,5,0.821,66.9,109.5,91.0,0.526,0.557,14.4,29.0,76.5,0.335,0.469,0.509,20.0,23.5,71.0,0.318
507,2019-20,San Diego State,32,30,2,0.938,66.1,113.3,90.0,0.548,0.579,14.3,28.9,74.4,0.285,0.449,0.489,18.8,25.6,71.1,0.298
508,2023-24,San Diego,33,18,15,0.545,72.0,100.7,107.4,0.488,0.525,16.1,27.5,68.6,0.32,0.523,0.556,16.1,31.4,72.5,0.381
509,2022-23,San Diego,31,11,20,0.355,70.4,108.6,113.4,0.516,0.553,14.1,28.7,70.7,0.312,0.578,0.595,16.0,29.3,71.3,0.323
510,2021-22,San Diego,31,15,16,0.484,67.4,96.9,99.0,0.476,0.506,16.1,27.0,74.3,0.258,0.483,0.511,14.6,25.7,73.0,0.242
511,2020-21,San Diego,14,3,11,0.214,72.2,90.9,105.8,0.464,0.488,16.3,20.9,74.4,0.256,0.533,0.565,16.3,25.6,79.1,0.338
512,2019-20,San Diego,32,9,23,0.281,70.9,91.5,101.0,0.466,0.497,18.0,25.5,72.5,0.31,0.5,0.533,16.1,27.5,74.5,0.316
513,2023-24,Samford,35,29,6,0.829,74.4,115.7,100.1,0.571,0.599,15.3,30.6,68.0,0.355,0.501,0.535,19.3,32.0,69.4,0.377
514,2022-23,Samford,32,21,11,0.656,69.9,110.9,100.8,0.533,0.575,15.6,29.3,73.4,0.412,0.512,0.547,18.3,26.6,70.7,0.367
515,2021-22,Samford,32,21,11,0.656,70.5,105.1,103.9,0.519,0.548,16.8,30.6,71.3,0.283,0.519,0.548,16.8,28.7,69.4,0.323
516,2020-21,Samford,19,6,13,0.316,75.0,100.4,103.9,0.506,0.531,18.3,30.4,75.0,0.272,0.523,0.558,16.7,25.0,69.6,0.383
517,2019-20,Samford,33,10,23,0.303,74.6,98.7,109.3,0.487,0.528,18.1,28.6,67.6,0.34,0.541,0.559,16.1,32.4,71.4,0.238
518,2023-24,Sam Houston State,33,21,12,0.636,69.4,103.2,98.9,0.488,0.526,16.1,32.5,73.1,0.34,0.488,0.523,16.9,26.9,67.5,0.363
519,2022-23,Sam Houston State,34,26,8,0.765,66.7,107.4,88.2,0.527,0.549,16.6,33.7,75.7,0.293,0.468,0.507,22.1,24.3,66.3,0.351
520,2021-22,Sam Houston State,33,19,14,0.576,68.8,99.7,91.4,0.499,0.513,15.8,27.9,79.0,0.244,0.475,0.515,19.3,21.0,72.1,0.341
521,2020-21,Sam Houston State,28,19,9,0.679,74.7,106.5,94.1,0.526,0.552,16.6,30.5,69.4,0.312,0.476,0.517,20.6,30.6,69.5,0.382
522,2019-20,Sam Houston State,31,18,13,0.581,74.4,102.7,95.4,0.512,0.546,16.7,28.8,71.0,0.301,0.487,0.536,21.4,29.0,71.2,0.421
523,2023-24,Saint Peter's,33,19,14,0.576,65.4,98.8,97.5,0.446,0.493,16.0,34.5,69.6,0.39,0.474,0.518,18.0,30.4,65.5,0.426
524,2022-23,Saint Peter's,32,14,18,0.438,63.2,97.5,102.2,0.443,0.477,15.9,36.8,70.0,0.289,0.489,0.541,17.3,30.0,63.2,0.509
525,2021-22,Saint Peter's,34,22,12,0.647,66.7,99.7,93.0,0.48,0.519,17.2,31.3,71.3,0.371,0.439,0.492,17.8,28.7,68.7,0.408
526,2020-21,Saint Peter's,25,14,11,0.56,68.0,92.9,90.4,0.456,0.493,18.8,30.4,72.3,0.327,0.449,0.489,19.6,27.7,69.6,0.395
527,2019-20,Saint Peter's,30,18,12,0.6,68.6,96.3,93.0,0.46,0.506,19.7,35.6,72.7,0.38,0.461,0.509,19.4,27.3,64.4,0.408
528,2023-24,Saint Louis,33,13,20,0.394,69.8,107.4,113.8,0.52,0.561,15.0,25.9,71.2,0.373,0.538,0.571,12.7,28.8,74.1,0.355
529,2022-23,Saint Louis,33,21,12,0.636,69.9,108.1,101.8,0.526,0.556,15.1,30.0,73.8,0.292,0.479,0.515,13.4,26.2,70.0,0.32
530,2021-22,Saint Louis,35,23,12,0.657,69.0,109.2,97.3,0.515,0.553,15.7,34.4,73.4,0.322,0.479,0.51,16.1,26.6,65.6,0.327
531,2020-21,Saint Louis,21,14,7,0.667,68.7,109.2,95.3,0.516,0.544,15.0,35.6,77.9,0.298,0.483,0.525,17.9,22.1,64.4,0.367
532,2019-20,Saint Louis,31,23,8,0.742,68.7,103.1,93.7,0.5,0.518,15.6,34.0,75.4,0.401,0.464,0.504,17.5,24.6,66.0,0.362
533,2023-24,Saint Joseph's,35,21,14,0.6,68.6,109.2,102.1,0.53,0.558,14.5,29.1,70.8,0.287,0.49,0.522,15.3,29.2,70.9,0.288
534,2022-23,Saint Joseph's,33,16,17,0.485,69.4,103.5,103.5,0.502,0.535,15.9,28.9,69.3,0.342,0.505,0.538,16.4,30.7,71.1,0.328
535,2021-22,Saint Joseph's,30,11,19,0.367,68.5,97.9,100.0,0.497,0.515,17.1,27.0,75.9,0.229,0.477,0.507,12.2,24.1,73.0,0.269
536,2020-21,Saint Joseph's,20,5,15,0.25,73.0,95.8,109.7,0.486,0.517,16.8,21.5,69.3,0.267,0.536,0.562,15.0,30.7,78.5,0.314
537,2019-20,Saint Joseph's,32,6,26,0.188,71.3,96.5,111.1,0.466,0.499,15.8,26.1,71.0,0.291,0.527,0.558,12.6,29.0,73.9,0.32
538,2023-24,Saint Francis (PA),30,8,22,0.267,66.7,97.3,108.6,0.481,0.503,17.5,33.3,68.9,0.328,0.522,0.553,15.3,31.1,66.7,0.357
539,2022-23,Saint Francis (PA),31,13,18,0.419,69.2,105.0,106.1,0.53,0.558,16.2,25.9,71.7,0.32,0.51,0.537,13.4,28.3,74.1,0.296
540,2021-22,Saint Francis (PA),30,9,21,0.3,68.9,98.4,105.4,0.472,0.498,15.5,31.0,68.9,0.301,0.517,0.539,15.9,31.1,69.0,0.249
541,2020-21,Saint Francis (PA),22,6,16,0.273,69.7,97.6,104.0,0.478,0.516,17.5,28.8,71.4,0.336,0.514,0.544,16.3,28.6,71.2,0.294
542,2019-20,Saint Francis (PA),32,22,10,0.688,70.3,110.0,101.7,0.521,0.557,14.9,32.3,71.5,0.335,0.509,0.538,17.0,28.5,67.7,0.283
543,2023-24,Sacred Heart,32,16,16,0.5,70.3,105.4,102.8,0.518,0.545,14.6,27.1,67.1,0.309,0.507,0.533,17.6,32.9,72.9,0.313
544,2022-23,Sacred Heart,33,16,17,0.485,70.4,99.6,100.5,0.489,0.515,16.2,28.8,69.7,0.276,0.501,0.528,17.2,30.3,71.2,0.27
545,2021-22,Sacred Heart,30,10,20,0.333,69.3,104.0,107.6,0.512,0.538,17.0,31.8,69.8,0.247,0.524,0.543,13.9,30.2,68.2,0.253
546,2020-21,Sacred Heart,18,9,9,0.5,68.0,101.3,108.1,0.48,0.522,16.1,29.5,68.3,0.336,0.507,0.533,13.1,31.7,70.5,0.276
547,2019-20,Sacred Heart,33,20,13,0.606,69.9,105.0,99.4,0.494,0.532,16.8,36.2,72.0,0.336,0.472,0.497,13.8,28.0,63.8,0.232
548,2023-24,Sacramento State,34,10,24,0.294,65.5,102.4,107.4,0.5,0.533,18.8,35.4,75.4,0.322,0.531,0.56,14.1,24.6,64.6,0.32
549,2022-23,Sacramento State,32,14,18,0.438,63.3,102.3,105.0,0.506,0.533,17.7,33.1,76.2,0.279,0.51,0.538,13.0,23.8,66.9,0.25
550,2021-22,Sacramento State,29,11,18,0.379,66.4,98.1,105.2,0.492,0.518,14.9,22.4,72.4,0.283,0.519,0.551,16.0,27.6,77.6,0.327
551,2020-21,Sacramento State,20,8,12,0.4,66.2,107.0,107.0,0.516,0.542,13.2,27.3,73.9,0.315,0.546,0.577,17.0,26.1,72.7,0.309
552,2019-20,Sacramento State,30,16,14,0.533,64.5,98.0,92.6,0.461,0.499,16.4,32.7,74.7,0.315,0.464,0.511,19.4,25.3,67.3,0.339
553,2023-24,Rutgers,32,15,17,0.469,68.6,95.0,96.6,0.435,0.469,14.1,30.2,68.7,0.329,0.472,0.509,18.6,31.3,69.8,0.343
554,2022-23,Rutgers,34,19,15,0.559,66.1,102.7,91.8,0.479,0.51,14.5,32.1,72.0,0.282,0.466,0.496,19.0,28.0,67.9,0.274
555,2021-22,Rutgers,32,18,14,0.563,65.5,102.9,99.9,0.499,0.525,15.0,29.6,73.1,0.262,0.486,0.519,15.6,26.9,70.4,0.286
556,2020-21,Rutgers,28,16,12,0.571,68.3,101.0,98.6,0.501,0.52,14.7,27.3,70.8,0.271,0.473,0.509,16.3,29.2,72.7,0.324
557,2019-20,Rutgers,31,20,11,0.645,67.7,102.5,91.8,0.493,0.516,15.3,32.4,74.6,0.291,0.447,0.482,16.6,25.4,67.6,0.278
558,2023-24,Robert Morris,32,10,22,0.313,68.7,104.1,108.6,0.503,0.533,16.9,33.8,71.8,0.28,0.52,0.555,13.7,28.2,66.2,0.36
559,2022-23,Robert Morris,33,16,17,0.485,67.4,102.5,98.8,0.505,0.533,16.8,29.6,72.3,0.265,0.49,0.526,17.2,27.7,70.4,0.306
560,2021-22,Robert Morris,32,8,24,0.25,67.7,101.7,109.5,0.517,0.551,18.4,28.5,68.3,0.283,0.525,0.553,14.7,31.7,71.5,0.282
561,2020-21,Robert Morris,19,4,15,0.211,68.5,101.5,110.4,0.504,0.524,16.2,29.5,66.6,0.256,0.54,0.571,16.6,33.4,70.5,0.342
562,2019-20,Robert Morris,34,20,14,0.588,67.5,103.4,99.4,0.516,0.537,16.4,29.4,71.1,0.258,0.506,0.539,19.2,28.9,70.6,0.311
563,2023-24,Rider,32,15,17,0.469,69.1,103.2,103.1,0.483,0.522,15.3,31.9,71.3,0.317,0.488,0.524,14.3,28.7,68.1,0.362
564,2022-23,Rider,30,16,14,0.533,65.1,106.5,102.6,0.497,0.53,14.8,34.0,72.0,0.288,0.501,0.528,14.8,28.0,66.0,0.38
565,2021-22,Rider,33,14,19,0.424,68.3,98.2,100.3,0.46,0.496,14.8,29.3,72.2,0.273,0.492,0.524,16.2,27.8,70.7,0.332
566,2020-21,Rider,23,6,17,0.261,68.6,97.8,107.2,0.483,0.518,16.3,26.2,73.3,0.29,0.533,0.559,15.2,26.7,73.8,0.36
567,2019-20,Rider,30,18,12,0.6,71.8,99.9,96.6,0.491,0.522,17.0,30.6,76.0,0.408,0.491,0.52,17.1,24.0,69.4,0.303
568,2023-24,Richmond,33,23,10,0.697,67.4,106.2,98.0,0.527,0.555,11.8,17.3,73.4,0.276,0.469,0.503,14.9,26.6,82.7,0.266
569,2022-23,Richmond,33,15,18,0.455,66.4,102.2,100.6,0.512,0.549,15.5,21.0,74.6,0.33,0.496,0.525,15.2,25.4,79.0,0.262
570,2021-22,Richmond,37,24,13,0.649,67.4,104.8,100.9,0.511,0.542,13.0,22.4,72.5,0.31,0.505,0.531,16.6,27.5,77.6,0.234
571,2020-21,Richmond,23,14,9,0.609,69.6,107.3,99.2,0.538,0.567,13.7,20.6,71.8,0.308,0.519,0.544,19.5,28.2,79.4,0.285
572,2019-20,Richmond,31,24,7,0.774,69.3,107.8,95.6,0.535,0.568,14.1,22.6,73.7,0.278,0.477,0.507,17.4,26.3,77.4,0.302
573,2023-24,Rice,32,11,21,0.344,67.5,105.4,110.8,0.51,0.537,14.8,29.1,70.7,0.296,0.523,0.553,13.0,29.3,70.9,0.27
574,2022-23,Rice,35,19,16,0.543,70.8,107.1,106.6,0.541,0.571,16.0,24.8,74.4,0.312,0.534,0.555,14.7,25.6,75.2,0.249
575,2021-22,Rice,33,16,17,0.485,68.4,106.8,105.7,0.537,0.564,16.0,26.6,72.7,0.305,0.507,0.529,12.8,27.3,73.4,0.204
576,2020-21,Rice,28,15,13,0.536,72.5,101.9,101.6,0.527,0.554,18.5,26.9,74.4,0.264,0.508,0.53,15.2,25.6,73.1,0.214
577,2019-20,Rice,32,15,17,0.469,71.4,103.5,104.0,0.518,0.551,16.6,25.5,73.6,0.334,0.519,0.543,15.5,26.4,74.5,0.284
578,2023-24,Rhode Island,32,12,20,0.375,69.0,105.2,110.7,0.517,0.543,15.9,30.0,72.2,0.396,0.523,0.545,11.4,27.8,70.0,0.295
579,2022-23,Rhode Island,31,9,22,0.29,68.3,95.4,102.2,0.442,0.493,17.4,31.6,70.5,0.37,0.491,0.522,15.0,29.5,68.4,0.317
580,2021-22,Rhode Island,31,15,16,0.484,68.2,98.5,95.3,0.505,0.527,18.3,28.6,72.6,0.36,0.459,0.5,16.8,27.4,71.4,0.318
581,2020-21,Rhode Island,25,10,15,0.4,70.3,99.6,99.1,0.492,0.525,17.2,29.7,73.8,0.389,0.479,0.513,15.4,26.2,70.3,0.335
582,2019-20,Rhode Island,30,21,9,0.7,71.8,101.2,95.1,0.469,0.505,14.0,30.4,71.4,0.371,0.474,0.506,18.1,28.6,69.6,0.285
583,2023-24,Radford,33,16,17,0.485,65.3,109.1,108.4,0.519,0.55,14.2,30.9,66.7,0.282,0.498,0.529,13.4,33.3,69.1,0.309
584,2022-23,Radford,36,21,15,0.583,64.9,106.5,99.5,0.518,0.543,15.6,31.3,72.5,0.286,0.511,0.538,18.2,27.5,68.7,0.311
585,2021-22,Radford,29,11,18,0.379,65.4,95.3,101.7,0.477,0.503,18.0,28.9,74.5,0.278,0.52,0.556,18.2,25.5,71.1,0.368
586,2020-21,Radford,27,15,12,0.556,64.7,102.6,98.0,0.513,0.546,19.4,34.5,75.8,0.396,0.492,0.521,16.5,24.2,65.5,0.244
587,2019-20,Radford,32,21,11,0.656,65.0,110.2,101.3,0.533,0.552,14.1,31.5,74.0,0.317,0.493,0.522,14.9,26.0,68.5,0.331
588,2023-24,Quinnipiac,34,24,10,0.706,71.9,107.2,98.7,0.51,0.549,15.0,31.6,72.4,0.309,0.483,0.514,15.7,27.6,68.4,0.285
589,2022-23,Quinnipiac,32,20,12,0.625,69.3,104.0,99.4,0.502,0.529,15.5,32.1,72.2,0.33,0.481,0.51,14.7,27.8,67.9,0.266
590,2021-22,Quinnipiac,31,14,17,0.452,69.3,103.2,102.7,0.507,0.54,16.3,28.7,71.9,0.266,0.502,0.531,15.3,28.1,71.3,0.269
